company,srn,address,city,zip_code,pti_no.,approved,notes
SINAI GRACE HOSPITAL,K1276,6071 W OUTER DRIVE,DETROIT,48235,421-99,11/3/1999,General PTI
GREAT LAKES WATER AUTHORITY,K5392,11000 E 8 MILE ROAD,DETROIT,48205,111-06,5/24/2006,
WAYNE STATE UNIVERSITY,M0239,421 W CANFIELD STREET,DETROIT,48202,99-04,4/12/2004,General PTI
WAYNE STATE UNIVERSITY,M0239,5454 CASS AVENUE - FACILITIES,DETROIT,48202,80-06A,11/19/2015,
SAINT JOHN HOSPITAL & MEDICAL,M1812,22101 MOROSS ROAD,DETROIT,48236,313-06,11/30/2006,
CUMMINGS-MOORE GRAPHITE COMPANY,M2369,1646 N GREEN STREET,DETROIT,48209,51-06,4/11/2006,
CUMMINGS-MOORE GRAPHITE COMPANY,M2369,1646 N GREEN STREET,DETROIT,48209,213-15,12/18/2015,
CUMMINGS-MOORE GRAPHITE COMPANY,M2369,1646 N GREEN STREET,DETROIT,48209,93-16,7/8/2016,
USHER OIL COMPANY,M3727,9000 ROSELAWN AVENUE,DETROIT,48204,124-04,3/10/2005,Revised
RIM CUSTOM RACKS,M3847,6501 E MCNICHOLS ROAD,DETROIT,48212,211-06B,8/23/2019,
"U S ECOLOGY, INC",M4008,6520 GEORGIA STREET,DETROIT,48211,302-07A,3/17/2014,
"CHRYSLER GROUP, LLC",M4085,11570 E WARREN AVENUE - MACK ENGINE,DETROIT,48214,261-99B,7/18/2013,Rolled into ROP
"FCA US, LLC",M4085,11570 WARREN AVENUE EAST - MACK,DETROIT,48214,261-99C,8/20/2015,Rolled into ROP
"FCA US, LLC",M4085,11570 WARREN AVENUE EAST - MACK,DETROIT,48214,47-18,6/8/2018,
"DETROIT READY MIX CONCRETE, INC",M4112,9189 CENTRAL STREET,DETROIT,48204,32-19,3/25/2019,
SLIPNOT METAL SAFETY FLOORING,M4130,2545 BEAUFAIT STREET,DETROIT,48207,334-98B,12/20/2021,
GREATER DETROIT RESOURCE,M4148,5700 RUSSELL STREET,DETROIT,48211,468-83D,8/13/2010,
"GENERAL MOTORS, LLC",M4168,RENAISSANCE CENTER,DETROIT,48265,2-11,3/9/2011,
MEADOWCREST MEMORIAL &,M4185,5800 E DAVISON STREET,DETROIT,48212,156-18,1/18/2019,
GENERAL MOTORS CORPORATION,M4199,2500 E GENERAL MOTORS BLVD -,DETROIT,48211,8-03,2/12/2003,Rolled into ROP
GENERAL MOTORS CORPORATION,M4199,2500 E GENERAL MOTORS BLVD -,DETROIT,48211,125-81C,2/25/2003,Rolled into ROP
GENERAL MOTORS CORPORATION,M4199,2500 E GENERAL MOTORS BLVD -,DETROIT,48211,156-04,7/28/2004,Rolled into ROP
GENERAL MOTORS CORPORATION,M4199,2500 E GENERAL MOTORS BLVD -,DETROIT,48211,91-15,7/14/2015,
GENERAL MOTORS CORPORATION,M4199,2500 E GENERAL MOTORS BLVD -,DETROIT,48211,209-19,6/17/2020,
"MAC CASTINGS, INC",M4323,13600 GIRARDIN STREET,DETROIT,48212,50-09,4/8/2009,
"DRSN REAL ESTATE, LLC",M4445,7733 E JEFFERSON AVENUE,DETROIT,48214,157-17,3/9/2018,
"W INDUSTRIES, INC",M4456,20101 HOOVER ROAD - PLANT #6,DETROIT,48205,299-08,2/3/2009,Rolled into ROP
U S ECOLOGY DETROIT (SOUTH),M4545,1923 FREDERICK STREET,DETROIT,48211,269-04H,2/5/2018,
CASEY'S CONCRETE CARRIERS CORP,M4577,18001 MOUNT ELLIOTT STREET,DETROIT,48234,71-19,5/14/2019,
"DANA CONTAINER, INC",M4626,11430 RUSSELL STREET,DETROIT,48211,125-07,6/11/2007,
DETROIT SALT CO,M4685,10335 FLORA STREET,DETROIT,48217,318-98B,6/17/2020,
DETROIT RECEIVING HOSPITAL,M4704,4201 SAINT ANTOINE BLVD,DETROIT,48201,397-99,10/14/1999,General PTI
DETROIT RECEIVING HOSPITAL,M4704,4201 SAINT ANTOINE BLVD,DETROIT,48201,117-11,7/26/2011,
"RAYCO PLATING, INC",M4718,10023 W FORT STREET,DETROIT,48209,65-03,8/9/2004,
JOHN D DINGELL VA MEDICAL CENTER,M4752,4646 JOHN R STREET,DETROIT,48201,295-07,10/29/2007,
"TPI PETROLEUM, INC",M4756,10840 FENKELL STREET,DETROIT,48185,214-02,10/30/2002,
AT&T,M4785,445 STATE STREET,DETROIT,48226,103-08,8/7/2008,
AT&T,M4785,445 STATE STREET,DETROIT,48226,153-10A,10/29/2014,
GENERAL SERVICES ADMINISTRATION,M4803,985 MICHIGAN AVENUE - FEDERAL,DETROIT,48226,216-98A,7/15/2021,
MOUNT ELLIOTT STEEL PRODUCTS,M4827,13200 MOUNT ELLIOTT STREET,DETROIT,48207,306-99,7/6/2000,
GREAT LAKES WATER AUTHORITY,M4842,12244 E JEFFERSON AVENUE - CONNERS,DETROIT,48215,260-99B,12/1/2008,
GREAT LAKES WATER AUTHORITY,M4843,12300 FREUD AVENUE - FREUD PUMP,DETROIT,48215,259-99B,12/1/2008,
GREAT LAKES WATER AUTHORITY,M4844,17145 MACK AVENUE - BLUEHILL PUMP,DETROIT,48224,252-99B,12/1/2008,
GREAT LAKES WATER AUTHORITY,M4845,6425 HUBER AVENUE,DETROIT,48211,121-02A,12/1/2008,
"DETROIT THERMAL, LLC",M4851,100 RENAISSANCE CENTER,DETROIT,48243,16-01,2/14/2001,
"H D INDUSTRIES, INC",N0246,19455 GLENDALE STREET,DETROIT,48223,242-06C,5/31/2013,
"PERFECTION INDUSTRIES, INC",N0305,18571 WEAVER STREET,DETROIT,48228,213-01B,6/4/2004,
FLOYD'S U-CART REDI MIX CONCRETE,N0373,14284 MEYERS ROAD,DETROIT,48227,87-19,6/10/2019,
"NECABA MANAGEMENT GROUP, INC",N0703,10755 GRATIOT AVENUE,DETROIT,48213,54-09,3/25/2009,
CLEAN EARTH ENVIRONMENTAL,N0731,421 & 515 LYCASTE STREET,DETROIT,48214,6-19,6/18/2019,
"MAGNI INDUSTRIES, INC",N1014,2771 HAMMOND STREET,DETROIT,48209,181-06C,5/30/2012,
DAIMLERCHRYSLER CORPORATION,N2155,2101 CONNER STREET - JEFFERSON,DETROIT,48215,32-95C,5/29/2001,Rolled into ROP
DAIMLERCHRYSLER CORPORATION,N2155,2101 CONNER STREET - JEFFERSON,DETROIT,48215,153-97A,5/29/2001,Rolled into ROP
DAIMLERCHRYSLER CORPORATION,N2155,2101 CONNER STREET - JEFFERSON,DETROIT,48225,615-86A,10/8/2002,Rolled into ROP
DAIMLERCHRYSLER CORPORATION,N2155,2101 CONNER STREET - JEFFERSON,DETROIT,48215,220-04,10/5/2004,Rolled into ROP
DAIMLERCHRYSLER CORPORATION,N2155,2101 CONNER STREET - JEFFERSON,DETROIT,48215,18-08,4/19/2010,Rolled into ROP
"FCA US, LLC",N2155,4000 SAINT JEAN STREET - DETROIT,DETROIT,48214,14-19A,10/30/2020,
3M DETROIT ABRASIVES,N2999,11900 E 8 MILE ROAD,DETROIT,48205,318-01G,7/30/2021,
"LAWFORD FABRICATING COMPANY, INC",N5174,20445 GLENDALE AVENUE,DETROIT,48223,392-97,9/18/1997,
"LAWFORD FABRICATING COMPANY, INC",N5174,20445 GLENDALE AVENUE,DETROIT,48223,392-97A,10/20/1999,
HISPANIC MANUFACTURING,N6262,2555 CLARK STREET,DETROIT,48209,164-97,2/23/1998,
"STRONG STEEL PRODUCTS, LLC",N6293,6464 STRONG STREET,DETROIT,48211,183-97,6/17/1997,
"DETROIT THERMAL, LLC",N6358,2401 4TH AVENUE,DETROIT,48226,458-97,2/9/1998,
"OMNICHEM, LLC",N6373,13700 W BUENA VISTA STREET,DETROIT,48227,380-97A,4/2/2002,
"NORTHWEST AIRLINES, INC",N6544,DETROIT METROPOLITAN WAYNE,DETROIT,48242,122-99,5/19/1999,
"COOPER HEAT TREATING, LLC",N6693,20251 SHERWOOD AVENUE,DETROIT,48234,34-03A,7/31/2013,
"MAXIMUM PLATING IND, INC",N6695,13840 KEAL STREET,DETROIT,48227,222-01,11/19/2001,
"TRILOGY FINISHING, INC",N7159,4561 BEAUFAIT STREET,DETROIT,48207,136-02,9/13/2002,
AEVITAS SPECIALTY SERVICES,N7359,663 LYCASTE STREET,DETROIT,48214,10-12,4/3/2012,
"AMERICAN AGGREGATES OF MICHIGAN,",N7375,9400 EAGLE STREET,DETROIT,48209,7-13,1/18/2013,
"GREEN POLYMERIC MATERIALS, INC",N7416,6031 JOY ROAD,DETROIT,48204,49-05A,3/1/2010,
SPRINT COMMUNICATIONS COMPANY LP,N7471,1320 3RD STREET,DETROIT,48226,23-08,1/24/2008,General PTI
GREAT LAKES WATER AUTHORITY,N7545,10100 E JEFFERSON AVENUE,DETROIT,48214,108-06,8/4/2006,
"PTI PAINT SATELLITE, LLC",N7598,6501 E NEVADA STREET,DETROIT,48234,300-08,9/10/2008,General PTI
"PTI SATELLITE PAINT, LLC",N7598,6501 E NEVADA STREET,DETROIT,48234,176-06,6/15/2006,General PTI
GREAT LAKES WATER AUTHORITY,N7704,12082 PLEASANT AVENUE,DETROIT,48217,291-06,12/7/2006,
"PITA METALS, INC",N7742,411 S FORT STREET,DETROIT,48217,373-06,3/13/2007,Revised
GREAT LAKES WATER AUTHORITY,N7879,2 PLEASURE DRIVE - BELLE ISLE,DETROIT,48207,332-07,10/11/2007,General PTI
GREAT LAKES WATER AUTHORITY,N7879,735 RANDOLPH STREET,DETROIT,48226,333-07,11/8/2007,
MICHIGAN BELL TELEPHONE COMPANY,N8019,17151 LAHSER ROAD,DETROIT,48219,91-08,10/14/2008,
MICHIGAN BELL TELEPHONE COMPANY,N8021,105 E BETHUNE STREET,DETROIT,48202,93-08,8/13/2008,
MICHIGAN BELL TELEPHONE COMPANY,N8022,13635 GREINER STREET,DETROIT,48205,94-08,8/13/2008,
MICHIGAN BELL TELEPHONE COMPANY,N8023,6125 GRAND RIVER AVENUE,DETROIT,48208,95-08,7/3/2008,
MICHIGAN BELL TELEPHONE COMPANY,N8029,10515 NORTHLAWN STREET,DETROIT,48204,102-08,7/16/2008,
"ENVIROSOLUTIONS, INC",N8049,22645 W 8 MILE ROAD,DETROIT,48219,151-08,6/12/2008,General PTI
"JOY CONSTRUCTION & LEASING, INC",N8078,19200 WOODWARD AVENUE,DETROIT,48238,205-08,7/31/2008,General PTI
DETROIT INSTITUTE OF ARTS,N8089,5200 WOODWARD AVENUE,DETROIT,48202,214-08,8/19/2008,
NEXT ENERGY,N8164,461 BURROUGHS STREET,DETROIT,48202,308-08,3/9/2009,
DETROIT WATER & SEWERAGE DEPT,N8174,11900 FREUD STREET,DETROIT,48215,243-00,3/1/2001,
GREAT LAKES WATER AUTHORITY,N8174,11900 FREUD STREET,DETROIT,48214,346-08,10/30/2008,General PTI
"MRP PROPERTIES, LLC",N8237,10000 PLYMOUTH ROAD,DETROIT,48204,43-09,3/3/2009,General PTI
DETROIT INTERNATIONAL BRIDGE,P0077,3001 W FORT STREET,DETROIT,48232,54-10,3/4/2010,General PTI
MM&S INVESTMENT II,P0092,16850 JAMES COUZENS HIGHWAY,DETROIT,48235,75-10,4/8/2010,General PTI
"FPT LONYO, LLC",P0120,3100 LONYO AVENUE,DETROIT,48209,119-10,6/8/2010,General PTI
"SET DUCT MANUFACTURING, INC",P0150,7800 INTERVALE STREET,DETROIT,48238,232-10,2/1/2011,
HEALTH ALLIANCE PLAN,P0224,2850 W GRAND BLVD,DETROIT,48202,41-11,3/29/2011,
WATERFRONT PETROLEUM TERMINAL,P0305,5431 W JEFFERSON AVENUE,DETROIT,48209,67-12,11/15/2012,
WATERFRONT PETROLEUM TERMINAL,P0305,5431 W JEFFERSON AVENUE,DETROIT,48209,72-18,6/29/2018,Revised
NEIGHBORHOOD SERVICE ORGANIZATION,P0329,882 OAKMAN BLVD,DETROIT,48238,39-12,3/29/2012,
"ARROW CHEMICAL PRODUCTS, INC",P0356,2067 SAINT ANNE STREET,DETROIT,48216,20-13,3/15/2013,
AT&T,P0357,444 MICHIGAN AVENUE,DETROIT,48226,85-12,9/6/2012,
"SAKTHI AUTOMOTIVE GROUP USA, INC",P0380,6401 W FORT STREET,DETROIT,48209,92-16,10/31/2016,
"EES COKE BATTERY, LLC",P0408,1400 ZUG ISLAND ROAD,DETROIT,48209,51-08C,11/21/2014,
"DETROIT BULK SERVICES, INC",P0431,115 ROSA PARKS BLVD,DETROIT,48216,3-19,2/1/2019,
"MICHIGAN PET MEMORIALS, LLC",P0438,12871 WESTWOOD STREET,DETROIT,48223,59-13,5/17/2013,
PARK METALLURGICAL CORPORATION,P0472,6100 VANCOUVER STREET,DETROIT,48204,104-13,1/10/2014,
PET & ANIMAL CREMATION EXCHANGE,P0592,1947 W FORT STREET,DETROIT,48216,34-15A,5/12/2015,
EDWARD C LEVY COMPANY,P0947,9690 BRENNAN STREET,DETROIT,48209,136-18,9/14/2018,
"21ST CENTURY SALVAGE, INC",P1004,866 TERMINAL STREET,DETROIT,48214,40-19,3/8/2019,
"MCCOIG MATERIALS, LLC",P1030,1441 SPRINGWELLS COURT - (also 1515,DETROIT,48001,242-10B,9/18/2019,
"DETROIT BULK SERVICES, INC",P1038,5851 W JEFFERSON AVENUE,DETROIT,48209,105-19,7/12/2019,
"REVERE DOCK, LLC",P1038,5851 W JEFFERSON AVENUE,DETROIT,48209,41-20,1/29/2020,
"MOUNT ELLIOT PROPERTY, LLC",P1101,6400 MOUNT ELLIOT STREEET,DETROIT,48217,208-19,1/8/2020,General PTI
"DINO-MITE CRUSHING & RECYCLING, LLC",P1114,12625 GREENFIELD ROAD,DETROIT,48227,48-18A,10/11/2019,
"SAINT MARYS CEMENT, INC",P1142,9333 DEARBORN STREET,DETROIT,48209,104-20,9/10/2020,General PTI
"SAINT MARY'S CEMENT, INC",P1147,9333 DEARBORN STREET,DETROIT,48001,120-20,10/14/2020,General PTI
"21ST CENTURY SALVAGE, INC",P1243,2001 15TH STREET,DETROIT,48216,100-21,11/30/2021,General PTI
AKJ INDUSTRIES,A7809,1 QUALITY DRIVE,ECORSE,48229,271-97,9/17/1997,Rolled into ROP
DTE ENERGY SERVICES,A7809,1 QUALITY DRIVE,ECORSE,48229,102-04,8/26/2004,
"FRITZ ENTERPRISES, INC",A7809,1 QUALITY DRIVE,ECORSE,48229,108-15,7/9/2015,
INTERNATIONAL MILL SERVICES,A7809,1 QUALITY DRIVE,ECORSE,48229,271-01,10/5/2001,Rolled into ROP
NATIONAL STEEL CORPORATION,A7809,1 QUALITY DRIVE,ECORSE,48229,223-98,3/2/2000,Rolled into ROP
NATIONAL STEEL CORPORATION,A7809,1 QUALITY DRIVE,ECORSE,48229,59-01,1/30/2002,Rolled into ROP
NATIONAL STEEL CORPORATION,A7809,1 QUALITY DRIVE,ECORSE,48229,99-03,7/16/2003,Rolled into ROP
NATIONAL STEEL CORPORATION,A7809,1 QUALITY DRIVE,ECORSE,48229,103-03,6/15/2004,Rolled into ROP
U S STEEL CORPORATION,A7809,1 QUALITY DRIVE,ECORSE,48229,147-03,1/7/2004,
U S STEEL CORPORATION,A7809,1 QUALITY DRIVE,ECORSE,48229,96-12A,12/9/2014,
U S STEEL CORPORATION,A7809,1 QUALITY DRIVE,ECORSE,48229,98-15,12/3/2015,
U S STEEL GREAT LAKES WORKS,A7809,1 QUALITY DRIVE,ECORSE,48229,219-06,8/16/2006,Rolled into ROP
U S STEEL GREAT LAKES WORKS,A7809,1 QUALITY DRIVE,ECORSE,48229,271-06,9/12/2006,General PTI
U S STEEL GREAT LAKES WORKS,A7809,1 QUALITY DRIVE,ECORSE,48229,219-06B,12/3/2015,
U S STEEL GREAT LAKES WORKS,A7809,1 QUALITY DRIVE,ECORSE,48229,19-16A,7/1/2016,
U S STEEL GREAT LAKES WORKS,A7809,1 QUALITY DRIVE,ECORSE,48229,13-17,4/24/2017,
U S STEEL GREAT LAKES WORKS,A7809,1 QUALITY DRIVE,ECORSE,48229,7-22,1/25/2022,General PTI
EDWARD C LEVY COMPANY,B4364,100 WESTFIELD STREET - PLANT 3,ECORSE,48229,482-97A,10/26/1999,Rolled into ROP
NATIONAL STEEL CORPORATION,B4364,100 WESTFIELD STREET,ECORSE,48229,100-03,7/18/2003,Rolled into ROP
"MICHIGAN MEMORIAL PARK, INC",K7643,30895 W HURON RIVER DRIVE,FLAT ROCK,48134,127-12,8/21/2012,
"FLAT ROCK METAL, INC",M4768,26601 W HURON RIVER DRIVE,FLAT ROCK,48134,71-98,7/19/2002,
"FLAT ROCK METAL, INC",M4768,26601 W HURON RIVER DRIVE,FLAT ROCK,48134,59-09,3/30/2009,General PTI
AUTOALLIANCE INTERNATIONAL,N0929,1 INTERNATIONAL DRIVE,FLAT ROCK,48134,181-04,8/4/2004,Rolled into ROP
AUTOALLIANCE INTERNATIONAL,N0929,1 INTERNATIONAL DRIVE,FLAT ROCK,48134,197-04,10/8/2004,Rolled into ROP
AUTOALLIANCE INTERNATIONAL,N0929,1 INTERNATIONAL DRIVE,FLAT ROCK,48134,89-07,6/16/2008,Rolled into ROP
AUTOALLIANCE INTERNATIONAL,N0929,1 INTERNATIONAL DRIVE,FLAT ROCK,48134,112-10,6/9/2010,Rolled into ROP
AUTOALLIANCE INTERNATIONAL,N0929,1 INTERNATIONAL DRIVE,FLAT ROCK,48134,138-10,11/23/2010,Rolled into ROP
FORD MOTOR COMPANY,N0929,1 INTERNATIONAL DRIVE - FLAT ROCK,FLAT ROCK,48134,122-17,3/22/2018,
"C & C SCREENING, INC",N6909,HALL ROAD & VREELAND ROAD,FLAT ROCK,49201,367-00,11/27/2000,General PTI
"MRP PROPERTIES, LLC",N8235,25664 GIBRALTAR ROAD,FLAT ROCK,48134,41-09,3/3/2009,General PTI
"INTERNATIONAL BULK SERVICE, INC",P1070,24002 VREELAND ROAD,FLAT ROCK,48134,126-19A,5/6/2020,
"EXTRUSION PAINTING, INC",B6147,32800 INDUSTRIAL BLVD,GARDEN CITY,48135,471-99,4/26/2000,
SAND VENTURES,N7314,32630 FORD ROAD - SUITE B,GARDEN CITY,48135,290-03,12/10/2003,General PTI
"NASERDEAN REAL ESTATE, LLC",P1165,30259 FORD ROAD,GARDEN CITY,48130,2-21,1/28/2021,General PTI
HYCAL CORPORATION,P0766,27800 W JEFFERSON AVENUE,GIBRALTAR,48173,91-09A,1/17/2017,
"HAMTRAMCK RECYCLING, LLC",P0453,3333 HAMTRAMCK DRIVE,HAMTRAMCK,48211,100-13,8/7/2013,
"HAMTRAMCK RECYCLING, LLC",P0453,3333 HAMTRAMCK DRIVE,HAMTRAMCK,48211,134-13,10/24/2013,
"ANGELO'S CRUSHED CONCRETE, INC",M3733,15150 OAKLAND AVENUE,HIGHLAND PARK,48203,82-00,3/23/2000,General PTI
"GREAT LAKES AGGREGATES, LLC",M3733,15150 OAKLAND AVENUE - HIGHLAND,HIGHLAND PARK,48203,106-15,7/7/2015,
"B & B CRUSHING, INC",M4806,91 MANCHESTER STREET,HIGHLAND PARK,48203,400-99,10/18/1999,General PTI
"CONOLLY NA, LLC",M4832,12225 OAKLAND PARK BLVD,HIGHLAND PARK,48203,309-99,8/10/2000,
AT&T,N7845,80 HIGHLAND STREET,HIGHLAND PARK,48203,257-07,11/29/2007,
EAGLE-PICHER INDUSTRIES,B3234,2638 PRINCESS STREET,INKSTER,48141,230-96,1/20/1998,
"SPEEDWAY SUPERAMERICA, LLC",N8033,2472 DIX ROAD - SSA #8798,LINCOLN PARK,48146,121-08,4/23/2008,General PTI
VALASSIS MANUFACTURING COMPANY,A4493,35955 SCHOOLCRAFT ROAD,LIVONIA,48150,249-06B,7/13/2016,
MCLAREN PERFORMANCE TECHNOLOGIES,A8217,32233 W 8 MILE ROAD,LIVONIA,48152,177-99C,6/30/2004,Rolled into ROP
MCLAREN PERFORMANCE TECHNOLOGIES,A8217,32233 W 8 MILE ROAD,LIVONIA,48152,67-05,4/25/2005,Rolled into ROP
MCLAREN PERFORMANCE TECHNOLOGIES,A8217,32233 W 8 MILE ROAD,LIVONIA,48152,67-05C,2/22/2018,
FORD MOTOR COMPANY,A8645,36200 PLYMOUTH ROAD - LIVONIA,LIVONIA,48150,34-18,5/1/2018,
"KOPACZ INDUSTRIAL PAINT, INC",A8953,12225 MERRIMAN ROAD,LIVONIA,48150,63-03,11/13/2003,
PLASTOMER CORPORATION,B3315,37819 SCHOOLCRAFT ROAD,LIVONIA,48150,371-97,4/15/1998,
PLASTOMER CORPORATION,B3315,37819 SCHOOLCRAFT ROAD,LIVONIA,48150,171-99,4/24/2000,
"MCGEAN-ROHCO, INC",B3316,38521 SCHOOLCRAFT ROAD,LIVONIA,48150,39-05,4/13/2005,
"MCGEAN-ROHCO, INC",B3316,38521 SCHOOLCRAFT ROAD,LIVONIA,48150,210-10E,7/16/2020,
DTE ENERGY SERVICES,B4569,12301 FARMINGTON ROAD,LIVONIA,48150,197-00,9/26/2000,
EAGLE PLASTICS CORPORATION,B4626,12001 LEVAN ROAD,LIVONIA,48150,58-06,3/7/2006,General PTI
"JBOUTOTECH, LLC",B5826,34039 SCHOOLCRAFT ROAD,LIVONIA,48150,7-09,6/18/2009,
BILL BROWN FORD,H9647,30400 PLYMOUTH ROAD,LIVONIA,48150,264-07,8/27/2007,
SOUTHERN MICHIGAN SERVICES,M3499,12700 FAIRLANE STREET,LIVONIA,48150,398-07,1/28/2008,
"SOUTHERN MICHIGAN SERVICES, LLC",M3499,12700 FAIRLANE STREET,LIVONIA,48150,45-18,5/15/2018,
ROUSH INDUSTRIES,M3833,12068 MARKET STREET,LIVONIA,48150,6-22,1/21/2022,
MERIDITH FABRICATING,M3872,30831 INDUSTRIAL ROAD,LIVONIA,48150,461-97,10/17/1997,
"DIVERSIFIED FUELS PROPERTIES, LLC",M4209,33430 SCHOOLCRAFT ROAD,LIVONIA,48150,227-06,8/2/2006,General PTI
"APPLIED PROCESS, INC",M4313,12238 NEWBURGH ROAD,LIVONIA,48150,8-05,1/27/2005,
"APPLIED PROCESS, INC",M4313,12238 NEWBURGH ROAD,LIVONIA,48150,95-14,9/4/2014,
AMERICAN SUNROOF COMPANY,M4397,34165 AUTRY ROAD,LIVONIA,48150,109-97A,4/17/1998,
FORD MOTOR COMPANY,M4734,35500 PLYMOUTH ROAD - AUTO,LIVONIA,48150,292-05,11/28/2005,Rolled into ROP
FORD MOTOR COMPANY,M4734,35500 PLYMOUTH ROAD - AUTO,LIVONIA,48150,68-12B,3/31/2017,
FORD MOTOR COMPANY,M4734,35500 PLYMOUTH ROAD - AUTO,LIVONIA,48150,32-18,5/2/2018,
ROUSH INDUSTRIES,M4780,36630 COMMERCE STREET - BUILDING 15,LIVONIA,48150,5-22,1/21/2022,
BASF CORPORATION,N1060,13000 LEVAN ROAD,LIVONIA,48150,198-00H,4/2/2015,
AMSTED INDUSTRIES,N6264,39201 AMRHEIN ROAD,LIVONIA,48150,162-97,4/18/1997,
"ALPHA COATINGS, INC",N6916,32711 GLENDALE AVENUE,LIVONIA,48150,384-00,12/5/2000,General PTI
ADVANCED TECHNOLOGY SERVICES,N7257,12400 BELDEN COURT,LIVONIA,48150,95-03,7/22/2003,
"BILL BROWN FORD, INC",N7580,30400 PLYMOUTH ROAD,LIVONIA,48150,275-01,11/20/2001,
AT&T,N7880,11770 MERRIMAN ROAD,LIVONIA,48150,331-07,10/11/2007,General PTI
"JOY SERVICES, INC",N8090,39130 PLYMOUTH ROAD,LIVONIA,48150,224-08,8/13/2008,General PTI
"SPEEDWAY SUPERAMERICA, LLC",N8160,31374 SCHOOLCRAFT ROAD - SSA #8801,LIVONIA,48150,309-08,9/29/2008,General PTI
GREAT LAKES WATER AUTHORITY,N8268,30365 SCHOOCRAFT ROAD,LIVONIA,48152,94-09,4/23/2009,General PTI
"SPEEDWAY SUPERAMERICA, LLC",P0119,37416 W 7 MILE ROAD - SSA #2201,LIVONIA,48152,122-10,6/8/2010,General PTI
WEST BAY EXPLORATION COMPANY,P0544,39020 7 MILE ROAD,LIVONIA,48152,131-14,11/10/2014,
"A & R PACKING COMPANY, INC",P0576,34157 AUTRY STREET,LIVONIA,48150,136-19,12/4/2019,
PET PASSAGES,P0974,31039 SCHOOLCRAFT ROAD,LIVONIA,48154,165-18,11/27/2018,
SAINT MARY MERCY HOSPITAL,P1149,19000 SAINT JOE'S PARKWAY,LIVONIA,48152,121-20,3/18/2021,
ASCENSION REFLECTION CREMATION,P1210,37105 INDUSTRIAL ROAD,LIVONIA,48150,55-21,8/12/2021,
"DARLING INGREDIENTS, INC",A6902,3350 GREENFIELD ROAD,MELVINDALE,48122,397-98A,3/30/2004,
"DARLING INGREDIENTS, INC",A6902,3350 GREENFIELD ROAD,MELVINDALE,48122,132-03A,10/12/2005,
SHRADER TIRE & OIL COMPANY,B4734,25445 OUTER DRIVE WEST,MELVINDALE,48122,126-06A,5/20/2008,
SHRADER TIRE & OIL COMPANY,B4734,25445 OUTER DRIVE WEST,MELVINDALE,48122,198-19,12/18/2019,General PTI
PEERLESS METAL POWDERS &,M3754,18900 RIALTO STREET,MELVINDALE,48209,34-19A,3/9/2020,
MONARCH ELECTRIC APPARATUS,N7641,18800 MEGINNITY AVENUE,MELVINDALE,48122,103-98B,10/19/2006,
"NEW BOSTON RTM, INC",M2973,19155 SHOOK ROAD,NEW BOSTON,48164,217-04A,10/1/2007,
"BONSAL AMERICAN, INC",M4406,36506 SIBLEY ROAD,NEW BOSTON,48164,42-07,4/16/2007,
SUMPTER ENERGY ASSOCIATES,N5986,NE NE SEC 27,NEW BOSTON,48393,62-01,12/20/2001,Rolled into ROP
SUMPTER ENERGY ASSOCIATES,N5986,28800 CLARK ROAD - CARLETON FARMS,NEW BOSTON,48164,62-01B,3/4/2005,Rolled into ROP
"BROSE NEW BOSTON, INC",P0810,23400 BELL ROAD,NEW BOSTON,48164,74-17,5/16/2017,General PTI
"SOULBRAIN MICHIGAN, INC",M4742,47050 5 MILE ROAD,NORTHVILLE,48168,167-10I,10/14/2020,
"DIVERSIFIED FUELS PROPERTIES, LLC",N7633,710 8 MILE ROAD,NORTHVILLE,48167,202-06,7/18/2006,General PTI
MEIDEN TECHNICAL CENTER NORTH,N7807,15810 CENTENNIAL DRIVE,NORTHVILLE TOWNSHIP,48168,130-13,12/23/2013,
"IAV AUTOMOTIVE ENGINEERING, INC",N8055,15620 TECHNOLOGY DRIVE,NORTHVILLE TOWNSHIP,48170,162-08A,8/3/2012,
"DURR INDUSTRIES, INC",A8448,40600 PLYMOUTH ROAD,PLYMOUTH,48170,344-01,11/28/2001,General PTI
FORD MOTOR COMPANY,B3625,14425 N SHELDON ROAD,PLYMOUTH,48170,110-17,9/22/2017,
"GLASSLINE, INC",M3856,199 W ANN ARBOR TRAIL,PLYMOUTH,48170,3-06,2/8/2006,
"AWTEC, INC",M4505,14920 KEEL STREET,PLYMOUTH,48170,354-05,1/23/2006,
"POOF-SLINKY, INC",M4639,45605 HELM STREET,PLYMOUTH,48170,184-12,11/28/2012,General PTI
AT&T,M4787,1316 ANN ARBOR ROAD,PLYMOUTH,48170,100-08B,12/10/2008,
SUN PLASTIC COATING COMPANY,N0266,42105 POSTIFF DRIVE,PLYMOUTH,48170,136-14,11/18/2014,
"ADIENT US, LLC",N5864,49200 HALYARD DRIVE,PLYMOUTH,48170,171-18,4/8/2019,
FEDERAL-MOGUL CORPORATION,N6327,47001 PORT STREET,PLYMOUTH,48170,368-97C,4/19/2006,Rolled into ROP
FEDERAL-MOGUL CORPORATION,N6327,47001 PORT STREET,PLYMOUTH,48170,368-97D,10/5/2006,Rolled into ROP
FEDERAL-MOGUL CORPORATION,N6327,47001 PORT STREET,PLYMOUTH,48170,368-97E,1/17/2014,Rolled into ROP
